Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Florida	S 1740	Insurance	Failed	Specifies that hurricane mitigation grants funded through the My Safe State Home Program may be awarded only under certain circumstances; revises the surplus required for certain insurers applying for their original certificates of authority and to maintain their certificates of authority, respectively; specifies prohibitions for persons who were officers or directors of an insolvent insurer, attorneys in fact of a reciprocal insurer.	Private Sector Use
Florida	S 7026	Information Technology	Failed	Creates the Agency for State Systems and Enterprise Technology; requires that the Division of Elections comprehensive risk assessment comply with the risk assessment methodology developed by asset; requires agencies and the judicial branch to include a cumulative inventory and a certain status report of specified projects with their legislative budget requests; revises the powers, duties, and functions of the Department of Management Services, through the State Digital Service.	Government Use
Georgia	H 147	Technology Authority	Pending - Carryover	Provides for an annual inventory of AI usage by state agencies; Provides for an annual inventory of AI usage by state agencies; provides for annual reports of such; provides for the authority to develop and establish certain policies; designates the attorney general as an applicable elected representative who may approve the issuance of certain private activity bonds to finance or refinance state charter school facilities; provides for the establishment of procedures for public notices and hearings relative to the issuance of such bonds.	Government Use; Notification; Impact Assessment
Georgia	H 171	Ensuring Accountability for Illegal AI Activities Act	Pending - Carryover	Relates to general provisions relative to obscenity and related offenses, so as to prohibit distribution of computer-generated obscene material depicting a child; provides for a standard for obscenity; provides for a penalty and probation; relates to procedure for sentencing and imposition of punishment, so as to provide for sentencing of defendants who utilize AI in the commission of certain offenses; provides for notice and enhanced sentencing.	Criminal Use; Private Sector Use; Child Pornography
Georgia	H 566	NO FAKES Act	Pending - Carryover	Relating to selling and other trade practices, so as to enact the NO FAKES Act of 2025; protects intellectual property rights in the voice and visual likeness of individuals; provides for the characteristics of a right to use the voice or visual likeness in a digital replica; provides for licensing and transferability of a right; requires the secretary of state to maintain a directory of certain post-mortem digital replication rights and a directory of designated agents.	Criminal Use; Private Sector Use
Georgia	H 679	End Rental Price Fixing Act	Pending - Carryover	Relates to illegal and void contracts generally, so as to prohibit certain agreements involving rental price-fixing as unenforceable contracts in general restraint of trade with respect to residential rental properties; provides for a criminal penalty; provides for statutory construction; provides for a short title; provides for an effective date and applicability; provides for related matters; repeals conflicting laws.	Housing; Private Sector Use
Georgia	S 9	Election Interference	Pending - Carryover	Establishes the criminal offenses of fraudulent election interference and solicitation of such; provides for exceptions; provides for the Attorney General to have concurrent jurisdiction over such crimes; provides for punishment; provides for injunctive relief; provides for the State Election Board to publish results of investigations into such offenses; provides for certain disclaimers on campaign advertisements that use AI generated media; provide for the form of such disclaimers.	Criminal Use; Elections
Georgia	S 354	Torts	Pending - Carryover	Relates to torts, so as to provide for a cause of action for appropriating an individual’s indicia of identity; provides for a right to protection against the appropriation of an individual’s indicia of identity; provides for assignment or licensing of such right; provides for damages; provides for other remedies; provides for exceptions; provides for definitions; provides for statutory construction; provides for related matters; repeals conflicting laws.	Criminal Use; Private Sector Use
Hawaii	H 831	Rental Market Algorithmic Price Setting	Pending - Carryover	Prohibits the use of algorithmic price setting in the state's rental market; requires the Department of the Attorney General to develop and undertake a public education program regarding the prohibition.	Private Sector Use; Housing; Government Use
Hawaii	HCR 175	Rental Price Fixing	Failed - Adjourned	Urges the Attorney General to investigate the extent to which algorithmic price setting and price fixing practices are being used in the state's rental housing market.	Housing; Private Sector Use
Hawaii	HR 171	Rental Price Fixing	Failed - Adjourned	Urges the Attorney General to investigate the extent to which algorithmic price setting and price fixing practices are being used in the state's rental housing market.	Private Sector Use; Housing
Hawaii	S 59	Discriminatory Algorithmic Eligibility Determinations	Pending - Carryover	Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides means of civil enforcement.	Responsible Use; Private Sector Use; Notification; Housing; Effect on Labor/Employment
Hawaii	S 157	Rental Market Algorithmic Price Setting	Pending - Carryover	Prohibits the use of algorithmic price setting in the state's rental market; requires the Department of the Attorney General to develop and undertake a public education program regarding the prohibition; establishes fines and penalties.	Private Sector Use; Housing
Idaho	H 442	Campaign Finance	Failed - Adjourned	Amends, repeals, and adds to existing law to provide for campaign finance transparency.	Elections; Criminal Use
